⺀	(⺀,Cd,,部首補充)
㓲	(户刂,UdTeRj,piàn,扩A)
㓳	(是刂,JeRj,dī,扩A)
㓴	(而大刂,UiNfRj,jùn_ruǎn,扩A)
㓵	(吅亏刂,YoGiRj,è,扩A)
㓶	(丰刀大刂,BpJzNfRj,qiè,扩A)
㓷	(自木刂,CvYqRj,yì,扩A)
㓸	(刂,OuRj,jué_zhuó,扩A)
㓹	(厂火火刂,LsXlXlRj,ruì,扩A)
㓺	(虍文刂,PtHfRj,jiàn,扩A)
㓻	(罒正刂,DdNtRj,,扩A)
㓼	(木氺刂,YqGoBkRj,chì_chòng,扩A)
㓽	(山宀示刂,BnDxThRj,chóng,扩A)
㓾	(尸牛刂,ZkBkRsRj,chí,扩A)
㓿	(禾氺刂,TuGoBkRj,,扩A)
㔀	(景刂,UkRj,lüè_qíng,扩A)
㔁	(癶豆刂,MeXnRj,dēng,扩A)
㔂	(米舛刂,ZcOoRj,lín,扩A)
㔃	(糹巴刀,CpNaSlJz,jué_pì,扩A)
㔄	(覀米刂,XgZcRj,sù,扩A)
㔅	(肀一刂,JaHwFkRj,xiào,扩A)
㔆	(旡旡日刂,RhRhWrRj,zàn,扩A)
㔇	(癶弓殳刂,MeDzFnRj,pō,扩A)
㔈	(艹非刂,QlYxRj,,扩A)
㔉	(尸丿口刂,ZkLbPrRj,zhú,扩A)
㔊	(亠囗口旦刂,WwXtPrRj,dǎn,扩A)
㔋	(臣皿刂,DnKhYzRj,jiàn_lán_làn,扩A)
㔌	(耳又乑刂,UaZnByRj,zhòu,扩A)
㔍	(目廾刂,KhFmQlRj,chuā_zhá,扩A)
㔎	(䶹辛刀,MrUvVcJz,xiè_yì,扩A)
㔏	(石石石刂,RaRaRaRj,lì,扩A)
㔐	(一非一刂,KhFkYxRj,,扩A)
㔑	(艹辛刀,QlUvVcJz,chì_dào_qì_shuì,扩A)
㔒	(山隹󰈯口刂,BnWfIeRj,xí,扩A)
㔓	(千力,JySo,jiǎn_xiàn,扩A)
㔔	(力口〇,SoPrPr,,扩A)
㔕	(气力,DmSo,jí_yì,扩A)
㔖	(力口乛,SoPrBm,jiā,扩A)
㔗	(弗力,CzSo,fèi,扩A)
㔘	(出力,JwSo,chù,扩A)
㔙	(丷开力,HdCmSo,bǎng_péng,扩A)
㔚	(舌力,JiSo,kǒu,扩A)
㔛	(士口力,NxPrSo,jié,扩A)
㔜	(爫子力,ChLgSo,bó,扩A)
㔝	(一巾力,FkSuLcSo,liǎng,扩A)
㔞	(千北力,JyOwSo,kuái,扩A)
㔟	(生丸力,NcOhSo,,扩A)
㔠	(曷力,BlSo,hé_jiá,扩A)
㔡	(囟比力,ZhLqSo,biē,扩A)
㔢	(糹巴力,CpNaSlSo,jué,扩A)
㔣	(田田田力,TyTyTySo,léi_lèi,扩A)
㔤	(宀釆田力,DxRuTySo,shěn,扩A)
㔥	(罒厶匕匕力,DdFiHzSo,pí,扩A)
㔦	(丶艮力,KbMsIxSo,yǎng,扩A)
㔧	(虍田皿力,PtTyYzSo,xuè,扩A)
㔨	(勹北,KlOwHz,bèi,扩A)
㔩	(勹去皿,KlGkYz,è,扩A)
㔪	(勹囗,KlPgXtZc,lǔ,扩A)
㔫	(匕,EoYs,,扩A)
㔬	(匕早,YsQf,,扩A)
㔭	(匕是,YsJe,chè_chí_yí,扩A)
㔮	(廿口夫厶匕匕,XjPrXmYs,nuó,扩A)
㔯	(匚几口,XmKxPr,suǎn_xuán,扩A)
㔰	(匚夕卜,XmQyPg,héng,扩A)
㔱	(匚臼人,XmBqSk,yǔ,扩A)
㔲	(匚飠九,XmNnTq,,扩A)
㔳	(匚飠几,XmNnKx,guǐ,扩A)
㔴	(匚田共,XmTyLi,yì,扩A)
㔵	(匚巳巳共,XmEwEwLi,xiàn_xuǎn,扩A)
㔶	(匚立早夂工貝,XmJkQfMl,gòng,扩A)
㔷	(匚一内,XmFkKq,lòu,扩A)
㔸	(匚虎,XmLsPt,tī,扩A)
㔹	(十力,EoSo,lè,扩A)
㔺	(十十⺃,EoEoHu,shì,扩A)
㔻	(不十,KeEo,pī,扩A)
㔼	(扌隹十,VlWfEo,sǔn,扩A)
㔽	(囗口,PgXtPr,yào_yǒu,扩A)
㔾	(㔾,Jf,jié,扩A)
㔿	(一丩,FkMd,zòu,扩A)
㕀	(由㔾,KvJf,,扩A)
㕁	(乂厶卩,QiEoFiJf,què,扩A)
㕂	(厂今,LsGd,yín,扩A)
㕃	(厂开,LsCm,xī,扩A)
㕄	(厂一幺,LsFkCp,zhì,扩A)
㕅	(厂甲,LsDa,jiǎ,扩A)
㕆	(厂古,LsOb,hù,扩A)
㕇	(厂立,LsJk,lá_lā,扩A)
㕈	(厂衣,LsHi,hòu_yǐ,扩A)
㕉	(厂合,LsNv,kè,扩A)
㕊	(厂甫,LsAh,fū,扩A)
㕋	(厂金,LsLu,jìng_qín,扩A)
㕌	(厂旦寸,LsUwOf,ài,扩A)
㕍	(厂隹,LsWf,,扩A)
㕎	(厂去皿,LsGkYz,è_kè_kǔn,扩A)
㕏	(厂豆斗,LsXnAd,chú,扩A)
㕐	(厂臼勹灬,LsBqKlXl,xiě,扩A)
㕑	(厂壴寸,LsMtOf,chú,扩A)
㕒	(厂我,LsAsWj,wéi_wěi_wēi,扩A)
㕓	(厂黑土,LsGpCk,,扩A)
㕔	(厂耳王十罒一心,LsUaKsVi,,扩A)
㕕	(厶厶,FiFi,huàn,扩A)
㕖	(厶厶厶木,FiFiFiYq,sù,扩A)
㕗	(丶厶,AsNaMsFi,yòu,扩A)
㕘	(厶厶厶小,FiFiFiIg,cān,扩A)
㕙	(厶八夂兔,FiAySpEg,jùn_ruì,扩A)
㕚	(又丶丶,ZnMsMs,zhǎo,扩A)
㕛	(又又,ZnZn,xù_yòu_yǒu,扩A)
㕜	(中又,OgZn,shǐ,扩A)
㕝	(古又,ObZn,shì,扩A)
㕞	(尸巾又,ZkSuZn,shuā,扩A)
㕟	(又,PgTeZn,kuì,扩A)
㕠	(冫隹又,WjWfZn,shuāng,扩A)
㕡	(谷又,NrLaZn,hé_hè_huò,扩A)
㕢	(貝又,NrMlZn,cán_gài_hài,扩A)
㕣	(八口,AyPr,yàn_yǎn,扩A)
㕤	(口九,PrTq,qiú,扩A)
㕥	(口人,PrSk,yǐ,扩A)
㕦	(口大,PrNf,huà,扩A)
㕧	(口尸,PrZk,xī,扩A)
㕨	(口凡,PrId,fàn,扩A)
㕩	(口丰,PrBp,zhàng,扩A)
㕪	(口冖儿,PrOdDi,dǎn,扩A)
㕫	(口方,PrLj,fǎng,扩A)
㕬	(口公,PrWh,sòng,扩A)
㕭	(口夭,PrFo,ào_bì,扩A)
㕮	(口父,PrHz,fǔ,扩A)
㕯	(内口,KqPr,nè,扩A)
㕰	(口毛,PrGo,hè,扩A)
㕱	(口尢丶,PrSeMs,yóu,扩A)
㕲	(口木,PrYq,huá_yíng,扩A)
㕳	(口凶,PrMz,,扩A)
㕴	(口冖几,PrOdKx,chén,扩A)
㕵	(口王,PrKs,guó_hún_luǒ,扩A)
㕶	(口五,PrIs,ň_ňg,扩A)
㕷	(口白,PrDh,huà,扩A)
㕸	(口立,PrJk,lì,扩A)
㕹	(口友丶,PrAmMs,fá,扩A)
㕺	(吅丂,YoBi,háo,扩A)
㕻	(丶不口,MsKePr,tòu,扩A)
㕼	(口勹乂⺃,PrKlQiHu,,扩A)
㕽	(口人,PrYsSk,sì,扩A)
㕾	(小口匕,IgPrYs,xiǎo,扩A)
㕿	(禾口,TuPr,,扩A)
㖀	(口聿,PrJa,lè_luò,扩A)
㖁	(口乂厶,PrQiEoFi,lìn,扩A)
㖂	(口丿,PrZfLb,yì,扩A)
㖃	(口口,PrCcPr,hòu_hǒu,扩A)
㖄	(口川,PrPvPv,,扩A)
㖅	(口戊一,PrQbFk,xù,扩A)
㖆	(口曲,PrNe,qú_qǔ,扩A)
㖇	(口而,PrUi,ér,扩A)
㖈	(老口,PfPr,,扩A)
㖉	(口止,PrGoHl,,扩A)
㖊	(口彐寸,PrQjOf,xún,扩A)
㖋	(介口匕,IePrYs,,扩A)
㖌	(亻九口匕,IuTqPrYs,,扩A)
㖍	(斗口匕,AdPrYs,,扩A)
㖎	(口匕介,PrYsIe,,扩A)
㖏	(口日土,PrWrCk,nèi,扩A)
㖐	(吅尹,YoWn,wěi,扩A)
㖑	(口戈廾,PrGwQl,xiè,扩A)
㖒	(口丷弓,PrHdDzNc,tí,扩A)
㖓	(口夂丰,PrSpBp,hóng,扩A)
㖔	(口夭口,PrFoPr,tǔn,扩A)
㖕	(口辛,PrVc,niè_xīn,扩A)
㖖	(辛口,VcPr,niè,扩A)
㖗	(口山今,PrBnGd,yín,扩A)
㖘	(口辰,PrPj,zhēn,扩A)
㖙	(力口口匕,SoPrPrYs,,扩A)
㖚	(亻寸口匕,IuOfPrYs,,扩A)
㖛	(古口匕,ObPrYs,,扩A)
㖜	(口匕,CiPrYs,xiǎng,扩A)
㖝	(未口匕,EtPrYs,,扩A)
㖞	(口呙,PrVa,wāi,扩A)
㖟	(口又,PrXbZn,shòu,扩A)
㖠	(口大示,PrNfTh,bà_nuò,扩A)
㖡	(口亠亻,PrWwIuMe,yè,扩A)
㖢	(口广此,PrFiVo,jí_qí,扩A)
㖣	(口咅,PrIa,tòu,扩A)
㖤	(口𠄏凵,PrLdWjMd,hán,扩A)
㖥	(口囗禾,PrXtTu,jiǒng,扩A)
㖦	(口,PrAkIg,dǒng,扩A)
㖧	(口氏日,PrOxWr,wěn,扩A)
㖨	(口氺,PrQjBk,lù,扩A)
㖩	(口耳又,PrUaZn,sǒu,扩A)
㖪	(口戈口一,PrGwPrFk,guó,扩A)
㖫	(口土八夂,PrCkAySp,líng,扩A)
㖬	(口臼又,PrBqZn,,扩A)
㖭	(口天,PrAkGi,tiǎn,扩A)
㖮	(口侖,PrGb,lún,扩A)
㖯	(冂口匕,OdAkPrYs,,扩A)
㖰	(口匕冂,PrYsOdAk,,扩A)
㖱	(亠亻口,WwIuMePr,,扩A)
㖲	(女口口匕,OuPrPrYs,,扩A)
㖳	(氵女口匕,MeOuPrYs,,扩A)
㖴	(口艹丿,PrQlJzLb,,扩A)
㖵	(口八,PrAwAy,gé,扩A)
㖶	(口覀土,PrXgCk,yè,扩A)
㖷	(口是,PrJe,shí_tí,扩A)
㖸	(口虍,PrPtXz,xué,扩A)
㖹	(口分皿,PrDjYz,fèn,扩A)
㖺	(口日,PrUdWr,chǔn,扩A)
㖻	(口矛木,PrHcYq,róu,扩A)
㖼	(口甘木,PrYpYq,duǒ_lín_móu,扩A)
㖽	(口頁,PrLd,zé_zéi,扩A)
㖾	(吅䒑䶹,YoRcMr,è,扩A)
㖿	(口耳阝,PrUaEr,xié,扩A)
㗀	(口山幺幺,PrBnCpCp,yōu,扩A)
㗁	(口吅亏,PrYoGi,è,扩A)
㗂	(口少目,PrVmFm,shěng,扩A)
㗃	(口民日,PrIcWr,wěn_yìn,扩A)
㗄	(口罒方,PrDdLj,mán_màn,扩A)
㗅	(口古月,PrObJs,hú,扩A)
㗆	(口革,PrUe,gé_kài,扩A)
㗇	(口叚,PrTj,xiá_ya,扩A)
㗈	(口甬力,PrXdSo,màn,扩A)
㗉	(丰刀各,BpJzXc,è_lüè,扩A)
㗊	(吅吅,YoYo,bī_jí_léi_qì,扩A)
㗋	(口厂矢,PrNaLsLv,hóu,扩A)
㗌	(口宀至,PrDxRn,zhì,扩A)
㗍	(口禾日,PrTuWr,zhái,扩A)
㗎	(口力口木,PrSoPrYq,jià,扩A)
㗏	(口不正,PrKeNt,wāi,扩A)
㗐	(口太皿,PrAlYz,kè,扩A)
㗑	(口龵,PrCjCj,bài,扩A)
㗒	(口口,PrHiPr,ài,扩A)
㗓	(口辶,PrUvDf,zhuī,扩A)
㗔	(口虍文,PrPtHf,qiān,扩A)
㗕	(口冉,PrXjMn,gòu,扩A)
㗖	(口爫臼,PrChBq,dàn,扩A)
㗗	(另卑,WvRk,bǎi,扩A)
㗘	(口甫寸,PrAhOf,bó_fù,扩A)
㗙	(口勹䶹勹䶹,PrKlMrMr,chú_nà_zhōu,扩A)
㗚	(口覀木,PrXgYq,lì,扩A)
㗛	(口夭,PrKhFo,xiào,扩A)
㗜	(口亠幺田,PrWwCpTy,xiù,扩A)
㗝	(口灬,PrAsXl,,扩A)
㗞	(口石皮,PrRaZs,,扩A)
㗟	(氵主口匕,MeAuPrYs,,扩A)
㗠	(女厶口口匕,OuFiPrYs,,扩A)
㗡	(艹亻乃口匕,QlIuSnYs,,扩A)
㗢	(口𡈼旦力,PrFuUwSo,dòng_hóng,扩A)
㗣	(口冖巾,PrUlOdSu,tì,扩A)
㗤	(戊上小口,QbUxIgPr,cù,扩A)
㗥	(口子阝,PrCiLgEr,kuò,扩A)
㗦	(口耳卯,PrUaTp,láo,扩A)
㗧	(口穴至,PrKgRn,zhì,扩A)
㗨	(匚矢殳口,XmLvFnPr,ǎi,扩A)
㗩	(口羽白,PrQuDh,xī,扩A)
㗪	(口此糸,PrVoCp,,扩A)
㗫	(口祭,PrMe,qiè,扩A)
㗬	(多,SaDs,zhā,扩A)
㗭	(口釆心,PrRuVi,xī,扩A)
㗮	(夕口广人,QyPrFiSk,,扩A)
㗯	(者口匕,VnPrYs,,扩A)
㗰	(口彳从龰,PrToLcHl,chù_cóng,扩A)
㗱	(口隹木,PrWfYq,jí,扩A)
㗲	(口田一,PrJaTyFk,huò_xì,扩A)
㗳	(口合,PrKhNv,tǎ,扩A)
㗴	(口門月,PrYzJs,yán,扩A)
㗵	(口火火欠,PrXlXlKc,xù,扩A)
㗶	(口癶弓殳,PrMeDzFn,pō,扩A)
㗷	(口宀贝,PrDxXjQh,sǎi,扩A)
㗸	(口行缶,PrEfUq,,扩A)
㗹	(口隹心,PrWfVi,,扩A)
㗺	(口天非,PrAkYx,,扩A)
㗻	(口咼辶,PrUvDf,guō,扩A)
㗼	(口业䒑未,PrEjRcEt,yè,扩A)
㗽	(乡丶阝口,PcMsIxPr,xiǎng,扩A)
㗾	(口革化,PrUeJr,xué,扩A)
㗿	(口門可,PrYzUr,hé_xià_xiā,扩A)
㘀	(口臼米,PrBqZc,zuò,扩A)
㘁	(口罒土,PrDdCkAs,yì,扩A)
㘂	(口䒑幺幺心,PrRcCpVi,cí,扩A)
㘃	(口艹口心,PrQlEoVi,ruò,扩A)
㘄	(口木罒方,PrYqDdLj,lēng,扩A)
㘅	(口行金,PrEfLu,xián,扩A)
㘆	(口士口冖至,PrNxPrRn,tái,扩A)
㘇	(口火火冖木,PrXlXlYq,róng,扩A)
㘈	(口匕矢龴疋,PrYsLvIf,yì_yī,扩A)
㘉	(口卩,PrKhIxJf,zhì,扩A)
㘊	(口言,PrErOk,yì,扩A)
㘋	(口臣又貝,PrDnZnMl,xián,扩A)
㘌	(口虍豕刂,PrPtByRj,jù,扩A)
㘍	(口小隹戈,PrIgWfGw,jí_qì,扩A)
㘎	(口门乛耳攵,PrZiBmVj,hàn_hǎn,扩A)
㘏	(首辶口匕,FqDfPrYs,,扩A)
㘐	(口馬交,PrXtWa,pào_pěng,扩A)
㘑	(口士示,PrNxThWj,lì,扩A)
㘒	(禾𡈼旦口匕,TuFuUwYs,,扩A)
㘓	(口門束丷,PrYzGuHd,lán,扩A)
㘔	(口貝,PrElMl,cǎn_sǎi,扩A)
㘕	(口艹臣皿,PrQlDnYz,hǎn_lán,扩A)
㘖	(口产彡頁,PrWdCdLd,yán,扩A)
㘗	(口目目隹,PrFmFmWf,qū,扩A)
㘘	(龻口,JjPr,,扩A)
㘙	(口吅厂乛耳攵,PrYoLsVj,yán_yǎn,扩A)
㘚	(口門乛耳攵,PrYzBmVj,hǎn,扩A)
㘛	(口合立,PrNvJkDg,kān,扩A)
㘜	(隹言隹口,WfOkWfPr,chǐ_chóu_chù,扩A)
㘝	(囗又,XtZn,lǎn_niè,扩A)
㘞	(囗力,XtSo,huò,扩A)
㘟	(囗廾,XtQl,,扩A)
㘠	(囗心丿,XtViLb,bì_mì,扩A)
㘡	(囗甲,XtDa,xiá,扩A)
㘢	(囗光,XtYf,wěng,扩A)
㘣	(囗口,XtPrHz,xuán_yuán,扩A)
㘤	(囗氵一,XtMeHwFk,wān,扩A)
㘥	(囗爫缶丿糸,XtChUqCp,yóu,扩A)
㘦	(土力,CkSo,qín,扩A)
㘧	(土予,CkAn,xù,扩A)
㘨	(土内,CkKq,nèi,扩A)
㘩	(土比,CkLq,bì,扩A)
㘪	(土毛,CkGo,hào,扩A)
㘫	(土井,CkCy,jǐng,扩A)
㘬	(土勹厶,CkKlFi,ào,扩A)
㘭	(土幺乛,CkCpBm,ào,扩A)
㘮	(土尺,CkQi,,扩A)
㘯	(土力,CkNcSo,,扩A)
㘰	(土斗,CkAd,zhēn,扩A)
㘱	(土冉,CkMn,tān,扩A)
㘲	(土尸九,CkZkTq,jú,扩A)
㘳	(北土,OwCk,,扩A)
㘴	(口人土,PrSkCk,zuò,扩A)
㘵	(土巾,CkEoSu,bù,扩A)
㘶	(舛土,OoCk,jié,扩A)
㘷	(土艹乂,CkQlQi,ài,扩A)
㘸	(歹匕土,NrYsCk,zàng_zuò,扩A)
㘹	(此土,VoCk,cí,扩A)
㘺	(土亻戈,CkIuGw,fá,扩A)
㘻	(土囗大,CkXtNf,,扩A)
㘼	(土耂丂,CkRhBi,,扩A)
㘽	(土,RhCk,,扩A)
㘾	(土宀一,CkDxFkEo,,扩A)
㘿	(土日土,CkWrCk,niè,扩A)
㙀	(土穴九,CkKgTq,liù,扩A)
㙁	(土母,CkNcSh,mǎng_méi_mèi_mù_nà,扩A)
㙂	(土丷兄,CkHdSg,duì_wèng,扩A)
㙃	(土兵,CkCo,bāng,扩A)
㙄	(土比土,CkLqCk,bì,扩A)
㙅	(土口木,CkPrYq,bǎo,扩A)
㙆	(土宀厶,CkDxEoFi,,扩A)
㙇	(土豕丶,CkByMs,chù,扩A)
㙈	(土虎,CkPt,hán_xià,扩A)
㙉	(土八,CkNeAy,tiǎn,扩A)
㙊	(土長,CkIs,cháng_zhàng,扩A)
㙋	(土其,CkKt,,扩A)
㙌	(土⺺八,CkJaRjAy,,扩A)
㙍	(土双双,CkZgZg,duō,扩A)
㙎	(土戊一女,CkQbFkOu,wēi,扩A)
㙏	(土日夂,CkNcWrSp,fù,扩A)
㙐	(土山而,CkBnUi,duǒ,扩A)
㙑	(丿口土,LbPrTkCk,yǔ,扩A)
㙒	(田予土,TyAnCk,yě,扩A)
㙓	(土土土土,CkCkCkCk,kuí,扩A)
㙔	(土韋,CkMb,hán,扩A)
㙕	(土田,CkTyHz,kuài,扩A)
㙖	(土丿口,CkLbPrTk,,扩A)
㙗	(土田一,CkTyFkHi,kuài,扩A)
㙘	(土覀女,CkXgOu,yāo,扩A)
㙙	(氵龙土,MeTlCdCk,lǒng,扩A)
㙚	(土牛,CkAsRs,xīng,扩A)
㙛	(土甫寸,CkAhOf,bǔ,扩A)
㙜	(高土,CiCk,chí_tái,扩A)
㙝	(土力力力,CkSoSoHz,xié,扩A)
㙞	(土自木,CkCvYq,niè,扩A)
㙟	(土丶月,CkMsIxJs,lǎng,扩A)
㙠	(匚矢殳土,XmLvFnCk,yì_yī,扩A)
㙡	(土彳从龰,CkToLcHl,zōng,扩A)
㙢	(土廿巾,CkXjSuLc,mán_mén,扩A)
㙣	(土弓長,CkDzIs,zhàng,扩A)
㙤	(土虍乊,CkPtChEo,xià,扩A)
㙥	(土公,CkHiWh,gǔn,扩A)
㙦	(斗土,GoTuAdCk,xié,扩A)
㙧	(土田,CkTpTy,,扩A)
㙨	(土幺幺戈人,CkCpCpSk,jì_qí,扩A)
㙩	(土大丷日小,CkNfHdIg,liáo,扩A)
㙪	(土豆,CkGlXn,yè_yì,扩A)
㙫	(土隹木,CkWfYq,jí,扩A)
㙬	(从犬土,YqLcRoCk,yín,扩A)
㙭	(土厂䒑䶹欠,CkLsRcKc,,扩A)
㙮	(土合,CkKhNv,da_dā,扩A)
㙯	(土八土丸云,CkAyCkYv,yì,扩A)
㙰	(角刀牛土,TjJzRsCk,xiè,扩A)
㙱	(口丂虎土,PrBiPtCk,hào,扩A)
㙲	(土亠乡隹,CkWwPcWf,yǒng,扩A)
㙳	(土戊心,CkQbAkVi,hǎn_hé_kǎn,扩A)
㙴	(土厂八言,CkNaLsOk,chàn_zhàn,扩A)
㙵	(土高土,CkCiCk,tái,扩A)
㙶	(土,CiSaCk,táng,扩A)
㙷	(土日幺幺灬,CkWrCpXl,zhé_zhí,扩A)
㙸	(土亻业,CkIuEjKb,bào_bó_pú,扩A)
㙹	(土艹罒冖夕,CkQlDdQy,méng,扩A)
㙺	(土匚貝,CkXmHkMl,guì_kuí,扩A)
㙻	(土广里八土,CkFiGhCk,chán_qiè_zàn,扩A)
㙼	(土田田田,CkTyTyTy,lěi,扩A)
㙽	(土百百,CkNfPiPi,,扩A)
㙾	(土爻冖子,CkBqIqLg,xì_xué,扩A)
㙿	(土禾{戈无一}乃,CkAsTuSn,,扩A)
㚀	(土虍豆戈,CkPtXnGw,xī,扩A)
㚁	(土土土兀土土土兀,CkCkCkSe,qiáo_qiào_qù,扩A)
㚂	(土吅,CkGlYoHi,ráng,扩A)
㚃	(凶䒑,GlMzRc,yūn,扩A)
㚄	(田疋,GlTyIf,,扩A)
㚅	(夂一生,SpFkNc,lóng,扩A)
㚆	(亠日夊,WwWrSp,fù,扩A)
㚇	(凶八夂,MzAySp,zōng,扩A)
㚈	(夕十,QyEo,,扩A)
㚉	(乃多,SnDs,gǔ,扩A)
㚊	(多亥,DsVp,kāi,扩A)
㚋	(多土口,DsOdCkPr,diāo,扩A)
㚌	(多果,DsMv,huà_huǒ,扩A)
㚍	(多貝,DsHkMl,guó_kuì_kuǐ,扩A)
㚎	(大凵,NfMd,,扩A)
㚏	(大廾,NfQl,gǎo,扩A)
㚐	(大大,NfNf,tào,扩A)
㚑	(彐大,QjNf,,扩A)
㚒	(大,NfLc,shǎn,扩A)
㚓	(大木,NfYq,lái_lǎi,扩A)
㚔	(大,NfAs,niè_xìng,扩A)
㚕	(大弗,NfCz,bì_fú,扩A)
㚖	(白大,DhNf,gǎo,扩A)
㚗	(大且,NfAw,qié_xié,扩A)
㚘	(夫夫,XmXm,bàn_fú_hè,扩A)
㚙	(力口大,SoPrNf,jiā,扩A)
㚚	(大夕口,NfQyPr,kōng_kuāng,扩A)
㚛	(大匕日,NfYsWr,xì,扩A)
㚜	(大戈口一,NfGwPrFk,xù_yù,扩A)
㚝	(大亻圭,NfIuKa,kuí,扩A)
㚞	(大林,NfGl,sēn_shěn,扩A)
㚟	(比大,RbLqNf,chuò,扩A)
㚠	(大灬,NfAsXl,xiāo,扩A)
㚡	(大可大可,NfUrNfUr,jǐ,扩A)
㚢	(亻女,IuOu,nú,扩A)
㚣	(女女,OuOu,jiāo_xiáo,扩A)
㚤	(女弋,OuWl,yì,扩A)
㚥	(女一,OuFkEo,yú,扩A)
㚦	(女丌,OuSe,yí,扩A)
㚧	(女广,OuFi,yǎn,扩A)
㚨	(女乛十,OuBmEo,shěn,扩A)
㚩	(女冂二,OuOdHt,rǎn,扩A)
㚪	(女毛,OuGo,hào,扩A)
㚫	(女及,OuVk,shà_zhà,扩A)
㚬	(女勹冫,OuKlWj,jūn,扩A)
㚭	(女尢丶,OuSeMs,yóu,扩A)
㚮	(女冖几,OuOdKx,,扩A)
㚯	(女风,OuQm,xín_xún,扩A)
㚰	(女不一,OuKeFk,bǐ,扩A)
㚱	(女一,OuTnFk,qiū,扩A)
㚲	(女占,OuJx,chān_diǎn_shàn,扩A)
㚳	(女力口,OuSoPr,,扩A)
㚴	(女巾,OuEoSu,bù,扩A)
㚵	(女夂,OuSpCd,dōng,扩A)
㚶	(女㠯,OuUv,sì,扩A)
㚷	(女小,OuGoIg,ěr_nǎi,扩A)
㚸	(女乛,OuBmAk,sī,扩A)
㚹	(女卯,OuTp,mǎo,扩A)
㚺	(女乃子,OuSnLg,yùn,扩A)
㚻	(田女,TyOu,jī,扩A)
㚼	(女田,OuTy,,扩A)
㚽	(工丂女,IvBiOu,qiǎo,扩A)
㚾	(女兄,OuSg,xiōng,扩A)
㚿	(女包,OuOv,páo,扩A)
㛀	(女刍,OuJv,chú,扩A)
㛁	(女平,OuIh,pēng,扩A)
㛂	(女巴,OuLsSl,nuǒ,扩A)
㛃	(丰刀女,BpJzOu,jié,扩A)
㛄	(女衣,OuHi,yī,扩A)
㛅	(女耳,OuUa,èr,扩A)
㛆	(女乃木,OuSnYq,duò_duǒ,扩A)
㛇	(女广土,OuFiCk,,扩A)
㛈	(女耂丂,OuRhBi,,扩A)
㛉	(女西,OuXg,,扩A)
㛊	(女几木,OuKxYq,duǒ,扩A)
㛋	(女,OuGoGi,,扩A)
㛌	(女厶牛,OuFiRs,,扩A)
㛍	(女大从,OuNfLc,qiè_xiá,扩A)
㛎	(女吕,OuYo,lǚ,扩A)
㛏	(女求,OuVu,òu_qiú,扩A)
㛐	(女更,OuPx,sǎo,扩A)
㛑	(歺又女,NrZnOu,càn,扩A)
㛒	(女豆,OuXn,dòu,扩A)
㛓	(女乂巾,OuQiEoSu,xī,扩A)
㛔	(女夂丰,OuSpBp,péng,扩A)
㛕	(女邑,OuDv,yì,扩A)
㛖	(女厶八夂,OuFiAySp,suō,扩A)
㛗	(女从土,OuLcCk,qiē_zuò,扩A)
㛘	(女子,OuGlLg,pò,扩A)
㛙	(女辛,OuVc,qiè_qín_shèn_shěn,扩A)
㛚	(女甬,OuXd,tǒng,扩A)
㛛	(女身,OuFa,xìn_zhèn,扩A)
㛜	(攵女,HsVjOu,yóu,扩A)
㛝	(女貝,OuMl,bèi_bèng,扩A)
㛞	(女王廾,OuKsQl,lòng,扩A)
㛟	(女奂,OuYe,,扩A)
㛠	(女门日,OuZiWr,,扩A)
㛡	(女宀元,OuDxRl,,扩A)
㛢	(女禾乃,OuTuSn,,扩A)
㛣	(女员,OuEm,yún,扩A)
㛤	(女一,OuFkJsJs,lí,扩A)
㛥	(女水日,OuBkWr,tà,扩A)
㛦	(女林,OuGl,lǎn,扩A)
㛧	(女山石,OuBnRa,mǎn,扩A)
㛨	(女⺃,OuAsHu,qiǎng,扩A)
㛩	(女,OuYvHz,zhóu,扩A)
㛪	(女大电,OuNfZf,yàn_yuán,扩A)
㛫	(女日丿,OuWrJzLb,xī,扩A)
㛬	(女土八土,OuCkAyCk,lù,扩A)
㛭	(女龷日,OuXjWr,xī,扩A)
㛮	(女宀火又,OuDxXlZn,sǎo,扩A)
㛯	(女力,OuNaEgSo,miǎn,扩A)
㛰	(女民日,OuIcWr,hūn,扩A)
㛱	(女田一,OuTyFkHi,ruì_wěi,扩A)
㛲	(女頁,OuLd,fà,扩A)
㛳	(冖巾女,JkOdSuOu,chà_yì,扩A)
㛴	(女巛囟,OuPvZh,nǎo,扩A)
㛵	(女爫冉,OuChMn,chēng,扩A)
㛶	(女山火,OuBnEoXl,chóu_tán_tàn,扩A)
㛷	(禾尢丶女,TuSeMsOu,jī,扩A)
㛸	(女壴,OuMt,shù,扩A)
㛹	(女亻更,OuIuPx,pián,扩A)
㛺	(女音,OuHr,ān,扩A)
㛻	(女大圭,OuNfKa,kuǐ,扩A)
㛼	(女千臼,OuJyBq,chā_shà,扩A)
㛽	(女宀米,OuDxZc,,扩A)
㛾	(女戊,OuQbAk,xián,扩A)
㛿	(女冖巾,OuPaOdSu,zhì,扩A)
㜀	(女相,OuXu,,扩A)
㜁	(女木旦,OuYqUw,,扩A)
㜂	(圭寸女,KaOfOu,fēng,扩A)
㜃	(女亻言,OuIuOk,liàn_liáo_máng,扩A)
㜄	(女風,OuIl,xún,扩A)
